Courses,Credits,Prereqs,Coreqs,Notes
CAP 3020,3,CAP 3027,,
CAP 3027,3,(COP 3504 OR COP 3503),,
CAP 3032,3,MAC 1147,,
CAP 3034,3,MAC 1147,,
CAP 3220,3,MAC 1147,,
CAP 4053,3,,,
CAP 4403,3,COP 3530,,
CAP 4621,3,COP 3530,,
CAP 4680,3,COP 3530,,
CAP 4730,3,COP 3530,,
CAP 4770,3,COP 3530,,
CAP 4800,3,COP 3530,,
CDA 3101,3,(COP 3504 OR COP 3503) AND (MAC 2233 OR MAC 2311 OR MAC 3472),,
CDA 4102,3,CDA 3101 AND COP 3530,,
CEN 3031,3,COP 3530,,
CEN 3907C,3,CEN 3031 AND EEL 3744C,,
CEN 3908C,3,CEN 3907C,,Seniors Standing
CEN 3913,3,CEN 3031,,
CEN 4072,3,CEN 3031,,
CEN 4721,3,COP 3530,,
CEN 4722,3,COP 3530,,
CEN 4725,3,COP 3530,,
CEN 4914,3,CEN 3913,,
CGS 2032,3,MAC 1147,,
CGS 3063,3,,,
CGS 3065,3,w,,Experience in Unix Required
CIS 2354,3,,,
CIS 4204,3,COP 3530,,
CIS 4301,3,(COP 3504 OR COP 3503) AND COT 3100.,,
CIS 4360,3,COP 4600,,
CIS 4362,3,COT 3100,,
CIS 4905,3,,,
CIS 4912C,3,CDA 3101 AND COP 3530 AND COT 3100,,Instructor permission required
CIS 4913C,3,CIS 4912C,,
CIS 4914,3,,,Senior Standing & approved project proposal
CIS 4930,1,,,Department Approval
CIS 4940,1,,,
CIS 4949,1,,,
CNT 4007C,4,COP 4600,,
CNT 4409,3,CNT 4007C AND COP 4600,,
COP 2271,2,MAC 2312,,
COP 2271L,1,MAC 2313,COP 2271,
COP 2800,3,MAC 1147,,
COP 3229,3,(COP 3504 OR COP 3503),,
COP 3275,3,MAC 1147,,
COP 3502,3,,MAC2311,
COP 3503,3,COP 3502 AND MAC 2311,,
COP 3504,3,(MAC 2311 OR MAC 3472),,
COP 3530,4,(COP 3504 OR COP 3503) AND COT 3100 AND MAC 2234 AND (MAC 2312 OR MAC 3473 OR MAC 3512),,
COP 4020,3,COP 3530,,
COP 4331,3,COP 3530,,
COP 4600,3,CDA 3101 AND COP 3530,,
COP 4620,3,COP 3530,,
COP 4720,3,CIS 4301 AND COP 3530,,
COT 3100,3,(MAC 2233 OR MAC 2311 OR MAC 3472),(COP 3504 OR COP 3503),
COT 4501,3,(COP 3504 OR COP 3503) AND MAS 3114,,
