courses,credits,prereqs,coreqs,notes
MAC 2311,4,,,
MAC 2312,4,MAC 2311,,
MAC 2313,4,MAC 2312,,
CHM 1025,2,,,
CHM 2045,3,CHM 1025,CHM 2045L,
CHM 2045L,1,CHM 1025,CHM 2045,
CHM 2046,3,MAC 2311,CHM 2046L,
CHM 2046L,1,CHM 2045 AND CHM 2045L,CHM 2046,
PHY 2053,4,,PHY 2053L,
PHY 2053L,1,,PHY 2053,
PHY 2054,4,PHY 2053,PHY 2054L,
PHY 2054L,1,PHY 2053L,PHY 2054,
PHY 2048,3,MAC 2311,MAC 2312,
PHY 2048L,1,,PHY 2048,
PHY 2049,3,MAC 2312,MAC 2313,
PHY 2049L,1,,PHY 2049,
ENC 1101,3,,,
ENC 1102,3,ENC 1101,,
ENC 3246,3,ENC 1101 OR ENC 1102,,
IDS 1161,3,,,
REL 2300,3,,,
MUL 2010,3,,,
PSY 2012,3,,,
ECO 2013,3,,,
ECO 2023,3,,,
EGS 4034,1,,,
REL 3082,3,,,
THE 3000,3,,,
